# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
3001          	GAMG	5.739410e-02	1.268400e-04	2	true
3002          	GAMG	5.781150e-02	1.210310e-04	2	true
3003          	GAMG	5.811960e-02	1.233870e-04	2	true
3004          	GAMG	5.848380e-02	1.231700e-04	2	true
3005          	GAMG	5.871000e-02	1.259400e-04	2	true
3006          	GAMG	5.937200e-02	1.268090e-04	2	true
3007          	GAMG	5.952380e-02	1.235130e-04	2	true
3008          	GAMG	5.963410e-02	1.238260e-04	2	true
3009          	GAMG	5.924290e-02	1.219730e-04	2	true
3010          	GAMG	5.954010e-02	1.244190e-04	2	true
3011          	GAMG	5.935330e-02	1.254260e-04	2	true
3012          	GAMG	5.840130e-02	1.278330e-04	2	true
3013          	GAMG	5.747560e-02	1.228860e-04	2	true
3014          	GAMG	5.704530e-02	1.205300e-04	2	true
3015          	GAMG	5.726640e-02	1.277840e-04	2	true
3016          	GAMG	5.690090e-02	1.241200e-04	2	true
3017          	GAMG	5.719130e-02	1.237560e-04	2	true
3018          	GAMG	5.728130e-02	1.230210e-04	2	true
3019          	GAMG	5.745230e-02	1.206180e-04	2	true
3020          	GAMG	5.819240e-02	1.175340e-04	2	true
3021          	GAMG	5.783840e-02	1.168680e-04	2	true
3022          	GAMG	5.825430e-02	1.200350e-04	2	true
3023          	GAMG	5.786490e-02	1.226680e-04	2	true
3024          	GAMG	5.779400e-02	1.241290e-04	2	true
3025          	GAMG	5.816230e-02	1.257590e-04	2	true
3026          	GAMG	5.910840e-02	1.249730e-04	2	true
3027          	GAMG	5.985580e-02	1.199470e-04	2	true
3028          	GAMG	5.997150e-02	1.132870e-04	2	true
3029          	GAMG	6.046550e-02	1.165020e-04	2	true
3030          	GAMG	6.166690e-02	1.230020e-04	2	true
3031          	GAMG	6.199470e-02	1.282640e-04	2	true
3032          	GAMG	6.253920e-02	1.293610e-04	2	true
