# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
113           	GAMG	9.336810e-02	2.017850e-04	2	true
114           	GAMG	9.448680e-02	2.121970e-04	2	true
115           	GAMG	9.654830e-02	2.197860e-04	2	true
116           	GAMG	9.802270e-02	2.201370e-04	2	true
117           	GAMG	1.008530e-01	2.196340e-04	2	true
118           	GAMG	1.023740e-01	2.175720e-04	2	true
119           	GAMG	1.046170e-01	2.268810e-04	2	true
120           	GAMG	1.064850e-01	2.294820e-04	2	true
121           	GAMG	1.080520e-01	2.376800e-04	2	true
122           	GAMG	1.091290e-01	2.390050e-04	2	true
123           	GAMG	1.090440e-01	2.459300e-04	2	true
124           	GAMG	1.088600e-01	2.496730e-04	2	true
125           	GAMG	1.092070e-01	2.529580e-04	2	true
126           	GAMG	1.088750e-01	2.551400e-04	2	true
127           	GAMG	1.086840e-01	2.704010e-04	2	true
128           	GAMG	1.103490e-01	2.637390e-04	2	true
129           	GAMG	1.109830e-01	2.583000e-04	2	true
130           	GAMG	1.100200e-01	2.515940e-04	2	true
131           	GAMG	1.092770e-01	2.582350e-04	2	true
132           	GAMG	1.081580e-01	2.455800e-04	2	true
133           	GAMG	1.081250e-01	2.413750e-04	2	true
134           	GAMG	1.074630e-01	2.558310e-04	2	true
135           	GAMG	1.068850e-01	2.471270e-04	2	true
136           	GAMG	1.067640e-01	2.400110e-04	2	true
137           	GAMG	1.067040e-01	2.535190e-04	2	true
138           	GAMG	1.055440e-01	2.488690e-04	2	true
139           	GAMG	1.048340e-01	2.541710e-04	2	true
140           	GAMG	1.039410e-01	2.378960e-04	2	true
141           	GAMG	1.033600e-01	2.192080e-04	2	true
142           	GAMG	1.037760e-01	2.178620e-04	2	true
143           	GAMG	1.018220e-01	2.055970e-04	2	true
144           	GAMG	1.007670e-01	2.016470e-04	2	true
145           	GAMG	9.933870e-02	2.073630e-04	2	true
146           	GAMG	9.759960e-02	2.043380e-04	2	true
147           	GAMG	9.785720e-02	2.106900e-04	2	true
148           	GAMG	9.685930e-02	2.156430e-04	2	true
